Id,Name,Text,TypeSpeed,FontAsset,FontStyle,FontSize,FontColor,VoiceIndex,Tag
0,,,,,,,,,
1,,태양은 이미 자취를 감춰 어둠이 내려앉은 시각.,,,,,,,
2,,나는 홀로 사무실에 앉아 팔자에도 없는 야근을 이어가고 있었다.,,,,,,,
3,매니저,끄응!<pause> 이걸로 이번 달 일정 정리는 얼추 마무리 된 건가?,,,,,,,
4,,"아이돌을 비롯한 연예인의 매니저는 굉장히 바쁜 직종이다.<pause> 담당하는 아이돌의 활동 일정을 짜고 관리해야 하지,<pause> 광고나 프로그램 제의가 들어오면 출연료 협상도 해야 되지,<pause> 거기에 운전까지.<pause> 아주 만능 일꾼이 따로 없다.",,,,,,,
5,,그렇게 맡은 일들을 처리하다 보면 야근은 기본이 될 수밖에 없다.<pause> 이 부분은 아이돌들도 별 차이는 없겠지만.,,,,,,,
6,매니저,윽!<pause> 으그극!<pause> 후!<pause> 지금 몇 시지?,,,,,,,
7,,요란한 기지개로 몸을 풀어주고 시계를 확인해 본다.,,,,,,,
8,매니저,뭐야<pause> 시간이 벌써 이렇게 됐어?,,,,,,,
9,,"자정까지는 꽤 멀었지만,<pause> 퇴근 시간은 한참 지나있었다.",,,,,,,
10,매니저,어디 보자 아직 남은 업무가…,,,,,,,
11,,남은 업무 리스트를 슬쩍 보고는 손에 얼굴을 파묻을 수밖에 없었다.,,,,,,,
12,매니저,아직 한참 남았구나.<pause> 이러면 또 밤샘 확정인가?,,,,,,,
13,매니저,끄응…,,,,,,,
14,,암담한 미래에 침음을 흘리며 몸을 뒤로 살짝 젖혔다.,,,,,,,
15,,이 직장은 이게 문제다.<pause> 몸은 하나인데 할 일은 너무 많아서 야근을 밥 먹듯이 하고 있다.,,,,,,,
16,,심지어 내가 맡은 아이돌들은 여러 의미로 손이 많이 가서 신경 쓸 부분이 많다.<pause> 자연히 철야 작업도 넘쳐날 수밖에.,,,,,,,
17,,덕분에 집에 갈 때마다 늘 새롭다.<pause> 새집 들어가는 기분이니까.,,,,,,,
18,매니저,…잠깐 눈 좀 붙일까.<pause> 아니<pause=0.5> 그냥 붙이자.,,,,,,,
19,,이건 선택이 아니라 생존의 문제다.<pause> 요 며칠간 철야의 연속이라 잠이 너무 부족하다.,,,,,,,
20,,지금도 머리가 멍하고 눈은 뻑뻑하고 무겁다.,,,,,,,
21,,이 상태로 남은 일을 하다간 틀림없이 기절해서 아침에 일어날 기세다.,,,,,,,
22,매니저,딱 십분…<pause> 십 분만 자자.<pause> 혹시 모르니까 알람도 맞춰놓고…,,,,,,,
23,매니저,책상에 엎드린 채로 자면 불편해서 그렇게 깊게 잠들지는 않겠지?,,,,,,,
24,,엎드리자마자 잠이 확 몰려온다.<pause> 그 기세가 너무 강렬해 꿀잠의 기색까지 느껴질 지경이다.,,,,,,,
25,,"…잠깐,<pause> 꿀잠은 안 되는…",,,,,,,
26,,"<pause=0.5>",,,,,,,
27,,음.<pause> 뒤통수가 말랑하다.<pause> 왠지 좋은 향기도 나고 따뜻한 바람 같은 게 앞머리를 간지럽힌다.,,,,,,,
28,,역시 집이 좋긴 좋아.<pause> 회사 숙직실이랑 다르게 수면의 질이 장난이 아니야.,,,,,,,
29,,잠깐.<pause> 근데 내가 퇴근했던가?<pause> 나 분명 늦게까지 잔업을 하고 있었던…,,,,,,,
30,,<size=72>잔업?!</size>,,,,,,,
31,,으헉!,,,,,,,
32,,눈이 번쩍 뜨이고 서둘러 몸을 일으켰다.,,,,,,,
33,,일으키려 했는데…,,,,,,,
34,???,아직 일어나시면 안 돼요.<pause> 좀 더 주무셔야죠!,,,,,,,
35,,상냥하고 따스한 목소리와 함께 부드러운 손길이 나를 잡아끌어 도로 눕혔다.,,,,,,,
36,,그리고 보이는 익숙한 얼굴.,,,,,,,
37,매니저,어… 발드르?,,,,,,,
38,발드르,"네,<pause> 저예요!",,,,,,,
39,,이름을 부르니 발드르가 해맑게 대답해 줬다.,,,,,,,
40,,그 미소가 너무 맑아 그간의 피로가 씻겨 내려가는 듯 하다.,,,,,,,
41,매니저,그 여긴…,,,,,,,
42,발드르,여기요?<pause> 숙직실이에요.,,,,,,,
43,,그렇구나.<pause> 확실히 잠깐 눈을 붙이려 했었지.<pause> 그걸 발드르가 보고 숙직실로 옮겨줬나 보다.,,,,,,,
44,,발드르는 밤 산책을 좋아하다 보니 밤늦게까지 깨어있는 날이 많았다.,,,,,,,
