Id,Name,Text,TypeSpeed,FontAsset,FontStyle,FontSize,FontColor,VoiceIndex,Tag
0,,,,,,,,,
1,,"누군가 태어난 기념일.<pause> 세상에서 가장 유명한 생일.<pause> 신앙의 영역을 벗어난 축제는, 이교의 신도 즐길 수 있는 자리가 되었다.",,,,,,,
2,매니저,<size=60>그래도 이건 좀 아니지!</size>,,,,,,,
3,제붕이,오. 매니저 왔느냐?,,,,,,,
4,매니저,레슨 좀 빼달라고 사정사정하길래 뭘 하나 했더니...,,,,,,,
5,,"들켰다는 표정으로 서 있는 노란색 괴생명체.<pause> 그 주위는 <color=red><size=72>쥐덫, 곰덫, 지뢰</size></color> 등 아이돌과는 전혀 어울리지 않는 도구들로 어질러져 있다.",,,,,,,
6,제붕이,"이, 이건...",,,,,,,
7,제붕이,"다음 무대에 사용할 소품이니라!<pause> 가장 위대한 신,<pause> 이 제우스가 솔선수범하여 테스트하고 있었지.",,,,,,,
8,매니저,......,,,,,,,
9,제붕이,"윽,<pause=0.5> 너무 성의 없는 변명이었나...",,,,,,,
10,제붕이,"크흠, 내 말을 들어 보거라!<pause> 곧 인간계에 크리스마스라는 축제가 열리지 않느냐!<pause> 이 경사스러운 날,<pause> 어찌 최고주신인 짐이 아들놈처럼 방구석에서 탱자탱자 놀고 있겠는가?",,,,,,,
11,,다급하게 열변을 토해내는 제우스.<pause> 제우스의 정신사나운 모습이야 늘 봐오던 것이었지만 오늘은 그 정도가 유독 심하다.<pause> 어쩌면 제우스도 크리스마스에 들뜰 나이가 된 건가.,,,,,,,
12,제우스,"이상한 망상을 하는 것 같다만,<pause> 매니저여 잘 생각해 보거라.<pause> 우리가 왜 아이돌을 해야 하지?",,,,,,,
13,매붕이,,,,,,,,
14,매니저,열등한 인간한테 숭배받는 우월감 때문에?,,,,,,,
15,제붕이,그래그래 열등한 필멸자에게 숭배받-,,,,,,,
16,제붕이,"아, 아니 그게 아니지!<pause> 이건 전부 신앙 때문이 아니더냐.",,,,,,,
17,,제우스의 말을 종합하자면 이랬다.,,,,,,,
