Id,Name,Text,TypeSpeed,FontAsset,FontStyle,FontSize,FontColor,VoiceIndex,Tag
0,,,,,,,,,
1,,"누군가 태어난 기념일.<pause> 세상에서 가장 유명한 생일.<pause> 신앙의 영역을 벗어난 축제는, 이교의 신도 즐길 수 있는 자리가 되었다.",,,,,,,
2,매니저,<size=60>그래도 이건 좀 아니지!</size>,,,,,,,
3,제우스,오. 매니저 왔느냐?,,,,,,,
4,매니저,레슨 좀 빼달라고 사정사정하길래 뭘 하나 했더니...,,,,,,,
5,,"들켰다는 표정으로 서 있는 노란색 괴생명체.<pause> 그 주위는 쥐덫, 곰덫, 지뢰 등 아이돌과는 전혀 어울리지 않는 도구들로 어질러져 있다.",,,,,,,
6,제우스,"이, 이건...",,,,,,,
7,제우스,"다음 무대에 사용할 소품이니라!<pause> 가장 위대한 신,<pause> 이 제우스가 솔선수범하여 테스트하고 있었지.",,,,,,,
8,매니저,......,,,,,,,
9,제우스,"윽,<pause=0.5> 너무 성의 없는 변명이었나...",,,,,,,
10,제우스,"크흠, 내 말을 들어 보거라!<pause> 곧 인간계에 크리스마스라는 축제가 열리지 않느냐!<pause> 이 경사스러운 날,<pause> 어찌 최고주신인 짐이 아들놈처럼 방구석에서 탱자탱자 놀고 있겠는가?",,,,,,,
11,,다급하게 열변을 토해내는 제우스.<pause> 제우스의 정신사나운 모습이야 늘 봐오던 것이었지만 오늘은 그 정도가 유독 심하다.<pause> 어쩌면 제우스도 크리스마스에 들뜰 나이가 된 건가.,,,,,,,
12,제우스,"이상한 망상을 하는 것 같다만,<pause> 매니저여 잘 생각해 보거라.<pause> 우리가 왜 아이돌을 해야 하지?",,,,,,,
14,매니저,열등한 인간한테 숭배받는 우월감 때문에?,,,,,,,
15,제우스,그래그래 열등한 필멸자에게 숭배받-,,,,,,,
16,제우스,"아, 아니 그게 아니지!<pause> 이건 전부 신앙 때문이 아니더냐.",,,,,,,
17,,제우스의 말을 종합하자면 이랬다.,,,,,,,
18,,"크리스마스,<pause> 숙소에 부비트랩 설치,<pause> 신앙이 필요한 제우스<pause> 그렇다면 결론은...",,,,,,,
19,매니저,산타 할아버지한테서 신앙을 받아내려고?,,,,,,,
20,제우스,"그렇지!<pause> 역시 나의 신관답구나.<pause> 산타는 필시 어마어마한 신앙을 가지고 있을 터.<pause> 이를 손에 넣는다면 낙천 전의 그 위대하고 ARISTOS한 짐으로 돌아갈 수 있다!",,,,,,,
21,,역시 편법에 대해서만큼은 누구보다 두뇌 회전이 빠른 제우스.,,,,,,,
22,매니저,"그럼 저희 이제 퇴출당할 걱정은 하지 않아도 되는 겁니까,<pause> 위대하고 전능하신 제우스님?",,,,,,,
23,제우스,이 녀석이 아첨하는 척하면서 아픈 구석을…,,,,,,,
24,제우스,"하지만 그래.<pause> 이제 겨울에 난방비로 벌벌 떨 일도,<pause> 여름에 에어컨도 못 틀어서 포세이돈이 쪼그라들 일도 없을 것이다!",,,,,,,
25,매니저,(신앙을 되찾고 나서 하겠다는 게 고작 에어컨이라니...<pause> 작은 행복과 낙천적인 발상은 좋지만 말이야.),,,,,,,
26,매니저,하지만 한 가지 큰 문제가 있어.,,,,,,,
27,제우스,무엇이 말이냐?,,,,,,,
28,매니저,산타 할아버지는 착한 아이한테만 선물을 주시거든.,,,,,,,
29,,착함은 둘째 치더라도 제우스는 아이가 아니다.<pause> 우리 회사도 아동착취 회사가 아니고.,,,,,,,
30,제우스,하하! 걱정하지 말거라. 짐이 전부 대책을 세워놓았느니라!,,,,,,,
31,제우스,그러니 그대는 앞으로의 일에 대해서만 생각하거라. 내 올림포스로 돌아간다면 지금까지 애써준 우리 매니저도 절대 잊지 않을 것이니!,,,,,,,
32,매니저,말은 좀 이상해도 감동적인걸.,,,,,,,
33,제우스,매니저여. 짐은 감정적인 신일지언정 은혜를 모르는 신이 아니다.,,,,,,,
34,,"자신만만한 표정으로 쳐다보는 제우스. 우쭐대는 얼굴이 평소와 같았지만, 역시 이래야 제우스지 라는 생각이 들게 한다.",,,,,,,
35,매니저,(아니 제우스다우면 큰일 난 거잖아.),,,,,,,
36,매니저,이번에는 사고 안칠 거지?,,,,,,,
37,제우스,그대는 대체 짐을 뭘로 보는 것이냐…<pause> 계획은 완벽하다!<pause> 자 이제 산타 맞이 준비를 해야 하니 어서 나가 보도록 하여라.,,,,,,,
38,,약간 뾰로통한 표정으로 제우스가 나를 내보냈다.<pause> 클대로 커버린 어른이 크리스마스 분위기를 내려니 부끄러웠던 모양이다.,,,,,,,
39,매니저,(그래도 크리스마스는 크리스마스인가.<pause> 신조차 저렇게 들뜨다니.),,,,,,,
40,,"들뜬 만큼, 진실을 알게 되면 충격받을 게 분명한데.",,,,,,,
41,매니저,(역시 여기서는 매니저로서 책임을 져야…),,,,,,,
42,,<size=36>살금살금</size>,,,,,,,
43,,방 안에 설치된 부비트랩을 피하며 조용하게 이동한다. 낙천했다 한들 신은 신이다. 그들에게 들키지 않으려면 빠르게 선물만 두고 가는 수밖에.,,,,,,,
44,매니저,(제우스에게 줄 선물이라면 역시…),,,,,,,
