Id,GroupId,Index,Name,PosX,PosY,PosChangeTime,ScaleX,ScaleY,ScaleChangeTime,Color,ColorChangeTime,Effect,EffectDurationTime,AlphaValue,BlurValue,Flip,AnimationState,IconId,Tag
0,0,0,,,,,,,,,,,,,,,,0,zeus
1,1,1,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
2,2,2,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
3,3,3,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
4,4,4,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
5,5,5,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
6,6,6,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
7,7,7,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
8,8,8,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
9,9,9,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
10,10,10,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
11,11,11,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
12,12,12,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
13,13,13,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
14,14,14,,0,-488,,46,46,,,,,,,,,Idle,0,zeus
15,15,1,,0,-488,,46,46,,,,,,,,,Idle,3,zeus
16,16,12,,0,-488,,46,46,,,,,,,,,JumpRepeat,0,zeus
17,17,3,,0,-488,,46,46,,,,,,,,,Idle,1,zeus
18,18,14,,0,-488,,46,46,,,,FadeOut,0.5,,,,Idle,0,zeus
19,19,14,,0,-488,,46,46,,,,,,,,,JumpRepeat,0,zeus
20,20,14,,0,-488,,46,46,,,,,,,,,Idle,2,zeus
21,21,,,200,-488,0.5,46,46,,,,,,,,,Idle,0,zeus
22,22,1,,200,-488,,46,46,,,,,,,,,Idle,0,zeus
23,23,9,,200,-488,,46,46,,,,,,,,,Idle,0,zeus
24,24,4,,200,-488,,46,46,,,,,,,,,Idle,0,zeus
25,25,2,,200,-488,,46,46,,,,,,,,,Idle,0,zeus
26,26,,,0,-488,0.5,46,46,,,,,,,,,Idle,0,zeus
