Id,DialogueId,ChoiceId,SpriteId,ItemId,BackgroundId,ForegroundId,SceneId,AudioBGMId,AudioSFXId,AutoPass,BlockInteraction
1,,,,,1,,1,,,true,true
2,,,,,,,2,,,true,true
3,1,,,,,,,1,,,
4,2,,,,,,,,1,,
5,3,,2,,,,,,,,
6,4,,,,,,,,,,
7,5,,,,,,,,,,
8,6,,7,,,,,,2,,
9,7,,2,,,,,,,,
10,8,,,,,,,,,,
11,9,,7,,,,,,,,
12,,1,,,,,,,,,
13,10,,3,,,,,,,,
14,11,,,,,,,,,,
15,12,,5,,,,,,,,
16,14,,,,,,,,,,
17,15,,6,,,,,,,,
18,16,,16,,,,,,3,,
19,17,,,,,,,,,,
20,,,,2,,,,,,true,true
21,18,,,,,,,,,,
22,,,,1,,,,,,true,true
23,19,,,,,,,,,,
24,20,,15,,,,,,4,,
25,21,,,,,,,,,,
26,22,,,,,,,,,,
27,23,,5,,,,,,,,
28,24,,10,,,,,,,,
29,25,,,,,,,,,,
30,26,,,,,,,,,,
31,27,,17,,,,,,5,,
32,28,,,,,,,,,,
33,29,,,,,,,,,,
34,30,,1,,,,,,,,
35,31,,2,,,,,,,,
36,32,,,,,,,,,,
37,33,,,,,,,,,,
38,34,,,,,,,,,,
39,35,,,,,,,,,,
40,36,,,,,,,,,,
41,37,,5,,,,,,,,
42,38,,,,,,,,,,
43,39,,,,,,,,,,
44,40,,,,,,,,,,
45,41,,,,,,,,,,
46,,,,,,4,,3,,true,true
47,,,0,,2,2,,,,true,true
48,42,,,,,,,,6,,
49,,,,,,3,,,,true,true
50,43,,,,,,,,,,
51,44,,,,,,,,,,
52,45,,,,,,,,,,
53,46,,,,,,,,,,
54,47,,,,,,,,,,
55,48,,,,,,,,7,,
56,,,18,,,,,,,true,true
57,49,,,,,,,,,,
58,50,,,,,,,,,,
59,51,,,,,,,,,,
60,52,,19,,,,,,3,,
61,53,,,,,,,,,,
62,54,,,,,,,,,,
63,55,,20,,,,,,8,,
64,56,,14,,,,,,,,
65,57,,,,,,,,9,,
66,58,,,,,,,,,,
67,59,,,,,,,,,,
68,60,,,,,,,,,,
69,61,,,,,,,,2,,
70,62,,,,,,,,10,,
71,63,,,,,,,,11,,
72,,,,,,4,,,,true,true
73,,,0,,,2,,,,true,true
74,64,,,,,,,,,,
75,,,,,,,1,,,true,true
76,,,,,,1,2,,,true,true
77,65,,,,,,,2,,,
78,66,,,,,,,,,,
79,67,,,,,,,,,,
80,68,,,,,,,,,,
81,69,,,,,,,,,,
82,70,,,,,,,,,,
83,71,,,,,,,,,,
84,72,,,,,,,,,,
85,73,,,,,,,,1,,
86,74,,,,,,,,,,
87,75,,,,,,,,,,
88,76,,,,,,,,,,
89,77,,,,,,,,,,
90,,,,,,,3,,,true,true
91,,,,,,2,0,,,true,true
92,78,,,,,,,,,,
93,,,,,2,3,,,,true,true
94,79,,,,,,,,,,
95,80,,,,,,,,,,
96,81,,,,,,,,,,
97,82,,10,,,,,,,,
98,83,,1,,,,,,,,
99,84,,,,,,,,,,
100,85,,,,,,,,,,
101,86,,5,,,,,,,,
102,87,,,,,,,,,,
103,88,,3,,,,,,,,
104,89,,10,,,,,,,,
105,90,,,,,,,,,,
106,,2,,,,,,,,,
107,91,,13,,,,,,,,
108,92,,,,,,,,,,
109,93,,,,,,,,,,
110,94,,,,,,,,,,
121,,,21,,,,,,,true,true
111,,,,4,,,,,,true,true
112,95,,23,,,,,,12,,
113,96,,22,,,,,,,,
114,97,,,,,,,,,,
115,98,,24,,,,,,,,
116,99,,,,,,,,,,
117,100,,,,,,,,,,
118,101,,25,,,,,,,,
119,102,,22,,,,,,,,
120,103,,,,,,,,,,
121,,,,3,,,,,,true,true
122,,,26,,,,,,,true,true
123,104,,17,,,,,,5,,
124,105,,,,,,,,,,
125,106,,11,,,,,,,,
126,107,,,,,,,,,,
127,108,,,,,,,,,,
128,109,,,,,,,,,,
129,110,,12,,,,,,,,
130,111,,,,,,,,,,
131,112,,3,,,,,,,,
132,113,,5,,,,,,,,
133,114,,3,,,,,,,,
134,115,,5,,,,,,,,
135,116,,,,,,,,,,
136,117,,16,,,,,,3,,
137,,,,2,,,,,,true,true
138,118,,,,,,,0,13,,
139,119,,7,,,,,,,,
140,120,,,,,,,,,,
141,,,,1,,,,,,true,true
142,124,,7,,,,,,,true,true
143,124,,3,,,,,,,true,true
144,124,,2,,,,,,,true,true
145,124,,1,,,,,,,true,true
146,,,,,,4,,,,true,true
147,121,,,,,,,,14,true,true
148,122,,,,,,,,,,
149,123,,,,,,,,,,
150,,,,,,,4,,,true,true
